timestamp,value
1759711251195,29.1266
1759711251302,26.5906
1759711251409,22.5822
1759711251519,22.3163
1759711251627,28.4028
1759711251737,29.995
1759711251847,26.7353
1759711251957,24.4871
1759711252067,23.1824
1759711252174,25.0084
1759711252283,20.4328
1759711252393,23.956
1759711252503,21.9109
1759711252604,22.429
1759711252707,20.9865
1759711252826,20.251
1759711252945,22.8058
1759711253060,28.7906
1759711253179,26.7509
1759711253286,25.9602
1759711253406,27.1255
1759711253512,29.1861
1759711253615,26.0442
1759711253716,22.6972
1759711253817,20.3141
1759711253932,26.1746
1759711254048,25.4436
1759711254152,24.6284
1759711254252,20.4867
1759711254362,21.4228
1759711254465,29.6393
1759711254566,26.4892
1759711254680,28.7556
1759711254780,23.6693
1759711254881,26.713
1759711254987,29.1555
1759711255096,23.0541
1759711255205,25.5943
1759711255315,24.5631
1759711255418,20.9766
1759711255530,28.7568
1759711255638,20.7083
1759711255746,28.8981
1759711255854,29.3634
1759711255964,25.8264
1759711256065,25.7661
1759711256165,28.73
1759711256280,20.5983
1759711256382,21.541
1759711256483,21.3142
1759711256596,22.0397
1759711256699,26.1635
1759711256815,20.3128
1759711256916,26.1026
1759711257031,20.7616
1759711257133,25.1062
1759711257248,22.0862
1759711257357,20.6744
1759711257458,22.3465
1759711257566,22.0207
1759711257675,24.6486
1759711257785,24.6842
1759711257900,26.4228
1759711258000,20.8906
1759711258113,25.5393
1759711258216,22.4082
1759711258331,29.8407
1759711258434,21.6628
1759711258549,26.5512
1759711258667,20.7633
1759711258783,25.9422
1759711258884,23.9055
1759711258999,27.1002
1759711259112,27.6679
1759711259221,27.2365
1759711259330,28.1774
1759711259434,22.4624
1759711259547,24.8147
1759711259648,21.071
1759711259750,25.7355
1759711259861,28.0619
1759711259965,21.4744
1759711260065,25.4528
1759711260183,29.3753
1759711260298,26.3281
1759711260424,27.7496
1759711260533,21.4818
1759711260642,24.8884
1759711260752,27.777
1759711260861,23.6113
1759711260965,27.5551
1759711261079,24.7097
1759711261182,25.7614
