timestamp,value
1759391087196,21.5734
1759391087307,21.327
1759391087417,28.2452
1759391087527,24.6595
1759391087633,20.8669
1759391087743,28.6487
1759391087854,26.4921
1759391087966,20.0518
1759391088078,24.0183
1759391088189,21.0135
1759391088299,25.283
1759391088410,24.8798
1759391088519,24.6821
1759391088629,21.1218
1759391088737,21.8244
1759391088849,29.8401
1759391088960,23.818
1759391089071,21.2175
1759391089182,27.5333
1759391089291,27.2724
1759391089400,28.1374
1759391089510,23.2709
1759391089620,21.0186
1759391089729,24.2154
1759391089837,29.8793
1759391089947,26.7393
1759391090057,28.9113
1759391090169,29.4912
1759391090279,23.323
1759391090388,29.9372
1759391090498,29.8482
1759391090607,20.5234
1759391090719,24.5988
1759391090829,27.7082
1759391090940,23.991
1759391091049,20.1894
1759391091158,21.2733
1759391091268,29.0302
1759391091378,26.7694
1759391091489,29.2064
1759391091598,28.5927
1759391091707,23.5982
1759391091819,26.0394
1759391091931,25.3491
1759391092040,20.4414
1759391092146,24.1168
1759391092257,27.2514
1759391092368,24.3861
1759391092476,23.4235
1759391092584,24.6367
